d_adv_loss, f_slf_loss, f_cyc_loss, f_adv_loss
0.5454, 1.7933, 5.7347, 3.1752
0.5877, 1.8851, 6.848, 3.0469
0.5733, 1.8625, 6.269, 3.0153
0.5616, 1.8066, 6.1308, 3.0787
0.5588, 1.7911, 6.0614, 3.1024
0.5597, 1.7711, 5.9874, 3.1486
0.5448, 1.6667, 5.6, 3.3127
0.5401, 1.6446, 5.5201, 3.2823
0.5295, 1.6344, 5.489, 3.3098
0.535, 1.6433, 5.5629, 3.2827
0.5551, 1.6393, 5.561, 3.2736
0.544, 1.5841, 5.1712, 3.1847
0.5314, 1.567, 5.0515, 3.2855
0.5293, 1.5689, 5.1791, 3.3959
0.5267, 1.5842, 5.272, 3.4713
0.5265, 1.5897, 5.2783, 3.4019
0.5153, 1.5243, 5.0775, 3.4693
0.5542, 1.6021, 5.3386, 3.2055
0.5526, 1.6068, 5.4043, 3.2488
0.5432, 1.6242, 5.419, 3.2755
0.5552, 1.6332, 5.4804, 3.2013
0.5174, 1.563, 5.2744, 3.4983
0.4939, 1.5884, 5.2804, 3.5773
0.4967, 1.6048, 5.3567, 3.5625
0.5086, 1.5842, 5.2543, 3.3952
0.5055, 1.5651, 5.1948, 3.3756
0.5029, 1.4053, 4.6433, 3.2026
0.5156, 1.3606, 4.5367, 3.1972
0.4958, 1.3719, 4.6468, 3.28
0.4977, 1.3622, 4.6419, 3.3108
0.498, 1.3898, 4.6857, 3.2929
0.5007, 1.4135, 4.8596, 3.3675
0.5021, 1.4144, 4.8373, 3.3212
0.5126, 1.4247, 4.7919, 3.3455
0.5266, 1.4547, 4.8916, 3.2321
0.5269, 1.458, 4.8968, 3.251
0.5372, 1.3669, 4.8651, 3.2887
0.5218, 1.3816, 4.8799, 3.3255
0.5495, 1.3614, 4.7679, 3.1342
0.5539, 1.3456, 4.7515, 3.085
0.5536, 1.355, 4.7624, 3.0575
0.4804, 1.3719, 4.8953, 3.3266
0.4849, 1.3039, 4.6755, 3.1814
0.5043, 1.3058, 4.7322, 3.0905
0.5034, 1.2976, 4.706, 3.0731
0.5072, 1.2792, 4.707, 3.0721
0.5218, 1.1619, 4.2285, 2.9511
0.5271, 1.1769, 4.3404, 2.9322
0.5232, 1.1736, 4.3079, 2.9832
0.5112, 1.1671, 4.3042, 2.9962
0.5075, 1.2058, 4.5557, 3.0498
0.5305, 1.3248, 4.9769, 3.1315
0.527, 1.2395, 4.6559, 3.1682
0.5403, 1.223, 4.663, 3.1287
0.5253, 1.2903, 4.8333, 3.2045
0.5211, 1.3078, 4.8449, 3.2289
0.4638, 1.228, 4.2705, 3.5001
